16:42:49:504 [           08772] >> /
16:42:49:566 [           08772] << /
16:42:49:570 [           02604] >> /index.html
16:42:49:570 [           02604] << /index.html
16:42:49:602 [           01736] >> /css/styles.css
16:42:49:602 [           08348] >> /js/main.js
16:42:49:602 [           01736] << /css/styles.css
16:42:49:602 [           08348] << /js/main.js
16:42:49:656 [           05888] >> /wines
16:42:49:687 [           05888] << /wines
16:49:11:642 [           04076] >> /wines
16:49:11:673 [           04076] << /wines
